name,price_usd,year,manufacturer,model,class,length_ft,fuel,hull_material,hull_shape
2006 bavaria 30 cruiser2006 bavaria 30 cruiser,59405,2006,bavaria,30 cruiser,sloop boats,31,diesel,other materials,other
2006 bavaria 30 cruiser2006 bavaria 30 cruiser,67580,2006,bavaria,30 cruiser,daysailers,31,diesel,fiberglass / polyester,
1986 dehler duetta 941986 dehler duetta 94,27250,1986,dehler,duetta 94,sailing yachts,31,diesel,composite,
1982 dufour 38001982 dufour 3800,22345,1982,dufour,3800,daysailers,31,diesel,other materials,
2008 jeanneau sun odyssey 32i2008 jeanneau sun odyssey 32i,57661,2008,jeanneau,sun odyssey 32i,other (sailboats),31,diesel,other materials,
1987 jouet 9401987 jouet 940,43390,1987,jouet,940,motor glider (sail),31,diesel,fiberglass / polyester,
1986 moody 31 mkii twin keel1986 moody 31 mkii twin keel,37005,1986,moody,31 mkii twin keel,sailing yachts,31,diesel,fiberglass / polyester,monohull
1979 neptun 311979 neptun 31,15260,1979,neptun,31,sloop boats,31,diesel,other materials,other
1980 vindo 401980 vindo 40,30993,1980,vindo,40,sailing yachts,31,diesel,fiberglass / polyester,monohull
1973 westerly longbow1973 westerly longbow,21695,1973,westerly,longbow,sloop boats,31,diesel,fiberglass / polyester,monohull
1979 wibo 9451979 wibo 945,13625,1979,wibo,945,sloop boats,31,diesel,steel,trimaran
1978 wibo / van wijk wibo 945 - under offer1978 wibo / van wijk wibo 945 - under offer,10791,1978,wibo / van wijk,wibo 945 - under offer,other (sailboats),31,diesel,steel,
2001 x-yachts x 302 mk ii2001 x-yachts x 302 mk ii,43491,2001,x-yachts,x 302 mk ii,racer/cruiser sailboats,31,diesel,fiberglass / polyester,other
1986 beneteau first 305 admiral1986 beneteau first 305 admiral,35970,1986,beneteau,first 305 admiral,daysailers,30,diesel,other materials,
1978 vindo 401978 vindo 40,29321,1978,vindo,40,sailing yachts,30,diesel,composite,
1983 hallberg-rassy hallberg rassy 3121983 hallberg-rassy hallberg rassy 312,47851,1983,hallberg-rassy,hallberg rassy 312,sailing yachts,30,diesel,other materials,
1986 hallberg-rassy 312 -verkauft-1986 hallberg-rassy 312 -verkauft-,48941,1986,hallberg-rassy,312 -verkauft-,daysailers,30,diesel,fiberglass / polyester,
1983 hallberg-rassy hr 312 mki1983 hallberg-rassy hr 312 mki,70850,1983,hallberg-rassy,hr 312 mki,sailing yachts,30,diesel,fiberglass / polyester,
1991 dehler 311991 dehler 31,35425,1991,dehler,31,sloop boats,30,,other materials,
1989 dehler 311989 dehler 31,35425,1989,dehler,31,sloop boats,30,diesel,other materials,other
1988 dehler 311988 dehler 31,32624,1988,dehler,31,sloop boats,30,diesel,other materials,other
1995 dehler 321995 dehler 32,32155,1995,dehler,32,sloop boats,30,diesel,other materials,other
1986 dehler duetta 9.401986 dehler duetta 9.40,26705,1986,dehler,duetta 9.40,sloop boats,30,diesel,other materials,other
1985 dehler duetta 941985 dehler duetta 94,20710,1985,dehler,duetta 94,sailing boats with cabin,30,diesel,fiberglass / polyester,monohull
1979 dufour 311979 dufour 31,17440,1979,dufour,31,daysailers,30,diesel,other materials,
1995 elan 295 -verkauft-1995 elan 295 -verkauft-,45671,1995,elan,295 -verkauft-,daysailers,30,diesel,fiberglass / polyester,
1972 vindo vindo 401972 vindo vindo 40,24525,1972,vindo,vindo 40,motor glider (sail),30,gasoline,fiberglass / polyester,
1980 granada 311980 granada 31,31610,1980,granada,31,sailing yachts,30,diesel,fiberglass / polyester,
1974 custom brigand 9501974 custom brigand 950,0,1974,custom,brigand 950,sailing yachts,30,other,fiberglass / polyester,
1970 koopmans cumulus1970 koopmans cumulus,10791,1970,koopmans,cumulus,daysailers,30,electric,steel,
1969 eigenbau moderner klassiker1969 eigenbau moderner klassiker,27141,1969,eigenbau,moderner klassiker,classic sailboats,30,diesel,fiberglass / polyester,
1976 hallberg-rassy monsun 311976 hallberg-rassy monsun 31,29321,1976,hallberg-rassy,monsun 31,sailing yachts,30,diesel,fiberglass / polyester,
1977 hallberg-rassy monsun 311977 hallberg-rassy monsun 31,43055,1977,hallberg-rassy,monsun 31,sailing yachts,30,diesel,composite,
1981 custom dufour 3800 special1981 custom dufour 3800 special,24740,1981,custom,dufour 3800 special,racer/cruiser sailboats,30,diesel,fiberglass / polyester,
2022 dufour 32 liegeplatz optional in der baltic bay erhältlich2022 dufour 32 liegeplatz optional in der baltic bay erhältlich,0,2022,dufour,32 liegeplatz optional in der baltic bay erhältlich,daysailers,30,diesel,fiberglass / polyester,
1987 lm boats mermaid 315 sehr guter zustand1987 lm boats mermaid 315 sehr guter zustand,38041,1987,lm boats,mermaid 315 sehr guter zustand,sailing yachts,30,diesel,fiberglass / polyester,
1982 moedt noordvaarder1982 moedt noordvaarder,9701,1982,moedt,noordvaarder,sailing yachts,30,diesel,steel,
1979 gd boote dauel (d) kielschwert1979 gd boote dauel (d) kielschwert,57770,1979,gd boote dauel (d),kielschwert,classic sailboats,30,diesel,composite,
1978 bostrom 31 mk 11978 bostrom 31 mk 1,25615,1978,bostrom,31 mk 1,sailing yachts,30,diesel,fiberglass / polyester,
1980 victoire 9331980 victoire 933,38150,1980,victoire,933,sloop boats,30,diesel,other materials,
2000 bavaria bavaria 312000 bavaria bavaria 31,49050,2000,bavaria,bavaria 31,racer/cruiser sailboats,30,diesel,fiberglass / polyester,
2008 beneteau oceanis 312008 beneteau oceanis 31,65400,2008,beneteau,oceanis 31,daysailers,30,diesel,other materials,
1975 forgus 311975 forgus 31,21255,1975,forgus,31,sloop boats,30,diesel,other materials,other
1989 sirius 311989 sirius 31,38041,1989,sirius,31,sailing yachts,30,diesel,fiberglass / polyester,
1980 van de stadt pionier 9301980 van de stadt pionier 930,21691,1980,van de stadt,pionier 930,racer/cruiser sailboats,30,diesel,fiberglass / polyester,
2015 viko s302015 viko s30,65291,2015,viko,s30,other (sailboats),30,diesel,fiberglass / polyester,
2022 viko s302022 viko s30,79461,2022,viko,s30,other (sailboats),30,,fiberglass / polyester,
2003 greben greben 31 -verkauft-2003 greben greben 31 -verkauft-,29321,2003,greben,greben 31 -verkauft-,daysailers,30,diesel,fiberglass / polyester,
2019 unbekannt l302019 unbekannt l30,106820,2019,unbekannt,l30,unspecified (sailboats),30,diesel,other materials,
1987 bavaria 301987 bavaria 30,29975,1987,bavaria,30,sloop boats,30,diesel,other materials,other
1977 cape dory 30 cutter1977 cape dory 30 cutter,21691,1977,cape dory,30 cutter,sloop boats,30,,other materials,
1980 sleepvlet 9201980 sleepvlet 920,3270,1980,sleepvlet,920,sloop boats,30,diesel,other materials,
1976 albin ballad1976 albin ballad,27195,1976,albin,ballad,sloop boats,30,diesel,other materials,other
2005 bicker biga 2922005 bicker biga 292,73575,2005,bicker,biga 292,sailing yachts,30,diesel,composite,
1992 bicker biga 301992 bicker biga 30,37060,1992,bicker,biga 30,sailing yachts,30,diesel,composite,
1981 comar cometone 910 plus -verkauft-1981 comar cometone 910 plus -verkauft-,27141,1981,comar,cometone 910 plus -verkauft-,daysailers,30,diesel,fiberglass / polyester,
1978 custom craglietto ts chance 291978 custom craglietto ts chance 29,6540,1978,custom,craglietto ts chance 29,racer/cruiser sailboats,30,diesel,wood,displacement
2007 delphia yachts phila 8802007 delphia yachts phila 880,47960,2007,delphia yachts,phila 880,sailing yachts,30,gasoline,fiberglass / polyester,
1986 jeanneau attalia 321986 jeanneau attalia 32,21691,1986,jeanneau,attalia 32,racer/cruiser sailboats,30,diesel,fiberglass / polyester,
1988 jeanneau sun light 301988 jeanneau sun light 30,30520,1988,jeanneau,sun light 30,daysailers,30,diesel,other materials,
1993 beneteau figaro beneteau1993 beneteau figaro beneteau,38041,1993,beneteau,figaro beneteau,other (sailboats),29,diesel,other materials,
1991 beneteau first 3101991 beneteau first 310,38095,1991,beneteau,first 310,sloop boats,29,diesel,other materials,other
1982 beneteau first e301982 beneteau first e30,39240,1982,beneteau,first e30,racer/cruiser sailboats,29,diesel,fiberglass / polyester,
1960 buchanan 301960 buchanan 30,22315,1960,buchanan,30,sailing yachts,29,diesel,wood,
1974 fairway northeaster fisher 301974 fairway northeaster fisher 30,48941,1974,fairway,northeaster fisher 30,motor glider (sail),29,diesel,fiberglass / polyester,
1978 fairways marine northeaster/ fisher 301978 fairways marine northeaster/ fisher 30,53955,1978,fairways marine,northeaster/ fisher 30,motor glider (sail),29,diesel,composite,
1975 fairways marine (fisher) freeward 30 fisher1975 fairways marine (fisher) freeward 30 fisher,26705,1975,fairways marine (fisher),freeward 30 fisher,sloop boats,29,diesel,other materials,displacement
1973 fisher northeaster 301973 fisher northeaster 30,24788,1973,fisher,northeaster 30,motor glider (sail),29,diesel,fiberglass / polyester,monohull
2002 hanse 3012002 hanse 301,30986,2002,hanse,301,sailing yachts,29,diesel,fiberglass / polyester,monohull
1993 beneteau figaro beneteau1993 beneteau figaro beneteau,30520,1993,beneteau,figaro beneteau,daysailers,29,diesel,other materials,
1979 tripp lentsch 291979 tripp lentsch 29,10845,1979,tripp lentsch,29,sloop boats,29,diesel,other materials,displacement
1986 etap 301986 etap 30,23980,1986,etap,30,sailing yachts,29,diesel,fiberglass / polyester,
2016 hanse 3152016 hanse 315,134615,2016,hanse,315,sloop boats,29,,other materials,other
1978 jeanneau folie douce1978 jeanneau folie douce,3815,1978,jeanneau,folie douce,sloop boats,29,diesel,other materials,
1980 jeanneau synphonie1980 jeanneau synphonie,31610,1980,jeanneau,synphonie,sailing yachts,29,diesel,fiberglass / polyester,
1972 vindo 301972 vindo 30,18312,1972,vindo,30,sailing yachts,29,diesel,composite,
1967 alpa 91967 alpa 9,19620,1967,alpa,9,sailing yachts,29,diesel,fiberglass / polyester,displacement
1978 scandinavia comfort 301978 scandinavia comfort 30,25506,1978,scandinavia,comfort 30,catamarans and trimarans,29,diesel,composite,
1977 sweden yachts comfort 301977 sweden yachts comfort 30,17658,1977,sweden yachts,comfort 30,sailing yachts,29,diesel,fiberglass / polyester,
1960 boudignon lofoten classic1960 boudignon lofoten classic,47960,1960,boudignon,lofoten classic,daysailers,29,diesel,other materials,
1928 cn corcelle st tropez pointu1928 cn corcelle st tropez pointu,32700,1928,cn corcelle st tropez,pointu,daysailers,29,diesel,other materials,
2015 fareast 28r2015 fareast 28r,32645,2015,fareast,28r,sloop boats,29,,other materials,
1997 dufour 30 classic1997 dufour 30 classic,29975,1997,dufour,30 classic,sloop boats,29,,other materials,
1997 buckley yacht design 301997 buckley yacht design 30,18534,1997,buckley yacht design,30,racer/cruiser sailboats,29,diesel,wood,monohull
1965 a. k. balfour honey bee1965 a. k. balfour honey bee,74120,1965,a. k. balfour,honey bee,sailing yachts,29,,wood,
2009 archambault a312009 archambault a31,0,2009,archambault,a31,sailing yachts,29,diesel,other materials,
1986 bavaria 301986 bavaria 30,31065,1986,bavaria,30,sailing yachts,29,diesel,composite,
2022 beaconax bluestorm 9002022 beaconax bluestorm 900,109000,2022,beaconax,bluestorm 900,other (sailboats),29,gasoline,other materials,
2015 beaconax bluestrom 9002015 beaconax bluestrom 900,128620,2015,beaconax,bluestrom 900,other (sailboats),29,diesel,wood,
1984 custom akros1984 custom akros,4905,1984,custom,akros,daysailers,29,,fiberglass / polyester,
2018 domani s302018 domani s30,111556,2018,domani,s30,sloop boats,29,other,other materials,tunnel
2021 dragonfly 28 performance2021 dragonfly 28 performance,326998,2021,dragonfly,28 performance,catamarans and trimarans,29,gasoline,fiberglass / polyester,
1980 dufour 291980 dufour 29,12971,1980,dufour,29,sailing yachts,29,,composite,
1963 gipon pluut 9001963 gipon pluut 900,17985,1963,gipon pluut,900,sloop boats,29,,steel,other
1982 hallberg-rassy 291982 hallberg-rassy 29,47960,1982,hallberg-rassy,29,sailing yachts,29,diesel,composite,
1980 hollander 900 motorsailer ketch1980 hollander 900 motorsailer ketch,21255,1980,hollander,900 motorsailer ketch,sloop boats,29,,steel,
1978 jeanneau brin de folie1978 jeanneau brin de folie,13625,1978,jeanneau,brin de folie,sloop boats,29,diesel,other materials,other
1982 moedt moedt noordvaarder1982 moedt moedt noordvaarder,5995,1982,moedt,moedt noordvaarder,sailing yachts,29,diesel,steel,other
1975 sommerfeld marion1975 sommerfeld marion,16350,1975,sommerfeld,marion,classic sailboats,29,diesel,wood,
2000 van de stadt 30 vita2000 van de stadt 30 vita,37605,2000,van de stadt,30 vita,sloop boats,29,diesel,steel,other
1985 victoria yachts victoria shadows 301985 victoria yachts victoria shadows 30,23980,1985,victoria yachts,victoria shadows 30,daysailers,29,diesel,other materials,
1974 westerdijk zeeschouw 9001974 westerdijk zeeschouw 900,16350,1974,westerdijk,zeeschouw 900,barge sail boat,29,diesel,steel,other
2014 winner 9.00 -verkauft-2014 winner 9.00 -verkauft-,141155,2014,winner,9.00 -verkauft-,daysailers,29,diesel,fiberglass / polyester,
2023 winner winner 9 plus2023 winner winner 9 plus,165680,2023,winner,winner 9 plus,daysailers,29,electric,fiberglass / polyester,
1965 self-built mahagoni plattgatter1965 self-built mahagoni plattgatter,68670,1965,self-built,mahagoni plattgatter,classic sailboats,29,gasoline,wood,
1985 unbekannt 20er stahljollenkreuzer1985 unbekannt 20er stahljollenkreuzer,3815,1985,unbekannt,20er stahljollenkreuzer,other (sailboats),29,other,steel,
1966 unbekannt 20iger jollenkreuzer1966 unbekannt 20iger jollenkreuzer,27795,1966,unbekannt,20iger jollenkreuzer,dinghies and dinghy cruisers,29,,wood,
2020 beneteau oceanis 30.12020 beneteau oceanis 30.1,168405,2020,beneteau,oceanis 30.1,daysailers,29,diesel,other materials,
2000 hanse 301 in der flensburger förde2000 hanse 301 in der flensburger förde,40875,2000,hanse,301 in der flensburger förde,sailing yachts,29,diesel,fiberglass / polyester,
1995 hunter 29.5 -verkauft-1995 hunter 29.5 -verkauft-,29321,1995,hunter,29.5 -verkauft-,daysailers,29,diesel,fiberglass / polyester,
2009 jeanneau sun odyssey 30i gte2009 jeanneau sun odyssey 30i gte,75755,2009,jeanneau,sun odyssey 30i gte,daysailers,29,diesel,fiberglass / polyester,
2021 dragonfly 25 sport2021 dragonfly 25 sport,168516,2021,dragonfly,25 sport,trimming,29,gasoline,fiberglass / polyester,trimaran
1977 mallard 9m1977 mallard 9m,21800,1977,mallard,9m,sailing yachts,29,diesel,composite,
1976 verl 9001976 verl 900,9810,1976,verl,900,sailing yachts,29,diesel,composite,
1976 vindo vind? 32 - sofort verf?gbar1976 vindo vind? 32 - sofort verf?gbar,30411,1976,vindo,vind? 32 - sofort verf?gbar,sailing yachts,29,diesel,fiberglass / polyester,
1980 bavaria 8901980 bavaria 890,31610,1980,bavaria,890,other (sailboats),29,electric,fiberglass / polyester,
1976 yachtwerft wirz drachen1976 yachtwerft wirz drachen,29975,1976,yachtwerft wirz,drachen,other (sailboats),29,electric,wood,
1982 bavaria 8901982 bavaria 890,23980,1982,bavaria,890,sailing boats with cabin,29,diesel,fiberglass / polyester,
1939 drachen 1939 drachen ,27250,1939,drachen,,unspecified (sailboats),29,,wood,
1985 hallberg-rassy 291985 hallberg-rassy 29,52865,1985,hallberg-rassy,29,sailing yachts,29,diesel,other materials,
1983 hallberg-rassy 291983 hallberg-rassy 29,40221,1983,hallberg-rassy,29,sloop boats,29,diesel,other materials,
1976 vindo 321976 vindo 32,21691,1976,vindo,32,daysailers,29,diesel,fiberglass / polyester,
1978 cbs 8881978 cbs 888,8175,1978,cbs,888,sailing yachts,29,diesel,fiberglass / polyester,displacement
2005 tes 32 dreamer2005 tes 32 dreamer,57988,2005,tes,32 dreamer,unspecified (sailboats),29,diesel,fiberglass / polyester,
2016 tirion hp282016 tirion hp28,62675,2016,tirion,hp28,sloop boats,29,diesel,composite,other
1998 jeanneau sun odyssey 29.21998 jeanneau sun odyssey 29.2,35951,1998,jeanneau,sun odyssey 29.2,sailing yachts,29,diesel,fiberglass / polyester,
1988 sadler 291988 sadler 29,23548,1988,sadler,29,sailing yachts,29,diesel,fiberglass / polyester,monohull
1978 westerly gk 291978 westerly gk 29,17331,1978,westerly,gk 29,sloop boats,29,diesel,other materials,other
2018 dalpol yacht phobos 292018 dalpol yacht phobos 29,75210,2018,dalpol yacht,phobos 29,sailing boats with cabin,28,electric,pvc (plastic),
2008 delphia yachts delphia 28 sport2008 delphia yachts delphia 28 sport,38150,2008,delphia yachts,delphia 28 sport,racer/cruiser sailboats,28,diesel,fiberglass / polyester,other
2022 corsair 880 trimarano2022 corsair 880 trimarano,184210,2022,corsair,880 trimarano,trimming,28,gasoline,fiberglass / polyester,
2002 jeanneau sun odyssey 29.22002 jeanneau sun odyssey 29.2,59950,2002,jeanneau,sun odyssey 29.2,sailing yachts,28,diesel,fiberglass / polyester,
1973 shipman zeilboot 8801973 shipman zeilboot 880,2180,1973,shipman,zeilboot 880,sloop boats,28,diesel,other materials,
1972 trintella 1a1972 trintella 1a,17985,1972,trintella,1a,sloop boats,28,diesel,other materials,displacement
2011 jeanneau sun odyssey 30i2011 jeanneau sun odyssey 30i,70850,2011,jeanneau,sun odyssey 30i,sloop boats,28,diesel,other materials,
1987 westerly konsort1987 westerly konsort,18589,1987,westerly,konsort,sailing yachts,28,diesel,fiberglass / polyester,
1988 beneteau first 2851988 beneteau first 285,49583,1988,beneteau,first 285,sailing yachts,28,diesel,fiberglass / polyester,monohull
1961 brabant 8751961 brabant 875,15805,1961,brabant,875,sloop boats,28,,steel,
2022 dehler 292022 dehler 29,138212,2022,dehler,29,classic sailboats,28,diesel,fiberglass / polyester,
2011 dehler 292011 dehler 29,87091,2011,dehler,29,racer/cruiser sailboats,28,diesel,fiberglass / polyester,displacement
2011 dehler 292011 dehler 29,76300,2011,dehler,29,racer/cruiser sailboats,28,diesel,fiberglass / polyester,displacement
2011 dehler dehler 292011 dehler dehler 29,78480,2011,dehler,dehler 29,racer/cruiser sailboats,28,diesel,fiberglass / polyester,
"1950 alm jollenkreuzer 8,701950 alm jollenkreuzer 8,70",17985,1950,alm,"jollenkreuzer 8,70",dinghy sailing boats,28,gasoline,other materials,
1982 mon mön 271982 mon mön 27,31610,1982,mon,mön 27,motor glider (sail),28,diesel,composite,
1975 sommerfeld marion1975 sommerfeld marion,30520,1975,sommerfeld,marion,sailing yachts,28,diesel,wood,
1986 lepanto noray barcelona noray 311986 lepanto noray barcelona noray 31,26051,1986,lepanto noray barcelona,noray 31,daysailers,28,diesel,other materials,
2020 tes yacht magnam 28 - 20202020 tes yacht magnam 28 - 2020,0,2020,tes yacht,magnam 28 - 2020,sailing yachts,28,diesel,fiberglass / polyester,
2022 tes yacht tes 28 magnam2022 tes yacht tes 28 magnam,64201,2022,tes yacht,tes 28 magnam,sailing yachts,28,diesel,fiberglass / polyester,
1977 emka emka 28 ht1977 emka emka 28 ht,8720,1977,emka,emka 28 ht,sailing yachts,28,diesel,fiberglass / polyester,other
1983 friendship friendship 281983 friendship friendship 28,21364,1983,friendship,friendship 28,sailing yachts,28,diesel,fiberglass / polyester,
1963 bc de wall oudkarspel westra 8601963 bc de wall oudkarspel westra 860,17985,1963,bc de wall oudkarspel,westra 860,daysailers,28,diesel,other materials,
1982 bianca bianca 281982 bianca bianca 28,14170,1982,bianca,bianca 28,sailing boats with cabin,28,diesel,fiberglass / polyester,
2004 delphia yacth delphia 292004 delphia yacth delphia 29,38150,2004,delphia yacth,delphia 29,daysailers,28,diesel,other materials,
1980 dehler duetta 86 ak1980 dehler duetta 86 ak,10791,1980,dehler,duetta 86 ak,sailing yachts,28,diesel,fiberglass / polyester,
1978 fellowship 281978 fellowship 28,8611,1978,fellowship,28,classic sailboats,28,diesel,fiberglass / polyester,
1976 gebr. de kloet fellowship 281976 gebr. de kloet fellowship 28,10791,1976,gebr. de kloet,fellowship 28,other (sailboats),28,diesel,fiberglass / polyester,
1980 huitema 860 zeeschouw1980 huitema 860 zeeschouw,31501,1980,huitema,860 zeeschouw,sloop boats,28,diesel,steel,other
1967 s.a.c.n costantini triskel1967 s.a.c.n costantini triskel,32700,1967,s.a.c.n costantini,triskel,daysailers,28,gasoline,other materials,
2021 tes 28 magnam2021 tes 28 magnam,108891,2021,tes,28 magnam,racer/cruiser sailboats,28,diesel,composite,
1964 tripp lentsch tripp lentsch 291964 tripp lentsch tripp lentsch 29,8175,1964,tripp lentsch,tripp lentsch 29,classic sailboats,28,diesel,composite,
1978 contessa 281978 contessa 28,15496,1978,contessa,28,daysailers,27,diesel,fiberglass / polyester,monohull
1989 freedom 271989 freedom 27,15496,1989,freedom,27,sailing yachts,27,diesel,fiberglass / polyester,
1965 peter duck 281965 peter duck 28,10538,1965,peter duck,28,classic sailboats,27,diesel,wood,monohull
2007 vancouver 282007 vancouver 28,83681,2007,vancouver,28,sailing yachts,27,diesel,fiberglass / polyester,monohull
1985 custom luthi flying 401985 custom luthi flying 40,6540,1985,custom,luthi flying 40,sailing yachts,27,gasoline,other materials,
2008 aloa 282008 aloa 28,37605,2008,aloa,28,sloop boats,27,diesel,other materials,
1977 blok zeeschouw1977 blok zeeschouw,19075,1977,blok,zeeschouw,barge sail boat,27,diesel,steel,other
1976 compromis 850 ak1976 compromis 850 ak,4360,1976,compromis,850 ak,sloop boats,27,diesel,other materials,other
1974 dehler optima 831974 dehler optima 83,7357,1974,dehler,optima 83,sloop boats,27,diesel,other materials,other
1966 great dane 281966 great dane 28,2158,1966,great dane,28,sailing yachts,27,other,composite,
1977 great dane gd 281977 great dane gd 28,18530,1977,great dane,gd 28,sailing yachts,27,diesel,fiberglass / polyester,
1985 maxi fenix 281985 maxi fenix 28,25070,1985,maxi,fenix 28,sloop boats,27,diesel,fiberglass / polyester,
1850 mulder en rijke tender1850 mulder en rijke tender,5450,1850,mulder en rijke,tender,sloop boats,27,other,other materials,
2022 viko s262022 viko s26,35861,2022,viko,s26,other (sailboats),27,,fiberglass / polyester,
2017 viko s262017 viko s26,48941,2017,viko,s26,other (sailboats),27,diesel,fiberglass / polyester,
1979 maxi maxi 841979 maxi maxi 84,16350,1979,maxi,maxi 84,sailing yachts,27,diesel,composite,
2022 northman maxus 262022 northman maxus 26,46953,2022,northman,maxus 26,sailing yachts,27,gasoline,fiberglass / polyester,monohull
1959 trewes 1 a1959 trewes 1 a,17985,1959,trewes,1 a,sloop boats,27,,steel,
1979 dekabo kievit 271979 dekabo kievit 27,6322,1979,dekabo,kievit 27,daysailers,27,diesel,fiberglass / polyester,
1980 glassfiber glassfiber lm 27 ms1980 glassfiber glassfiber lm 27 ms,26160,1980,glassfiber,glassfiber lm 27 ms,daysailers,27,diesel,other materials,
1977 lm boats lm 271977 lm boats lm 27,20710,1977,lm boats,lm 27,motor glider (sail),27,diesel,fiberglass / polyester,
1977 wibo van wijk wibo 835-verkauft-1977 wibo van wijk wibo 835-verkauft-,21691,1977,wibo van wijk,wibo 835-verkauft-,daysailers,27,diesel,steel,
1969 dehler optima 831969 dehler optima 83,7412,1969,dehler,optima 83,sailing yachts,27,diesel,fiberglass / polyester,
1980 dufour 28001980 dufour 2800,4360,1980,dufour,2800,sloop boats,27,,other materials,other
1983 dufour 2800 cs1983 dufour 2800 cs,12971,1983,dufour,2800 cs,sailing yachts,27,diesel,fiberglass / polyester,
1996 hurley 8001996 hurley 800,24525,1996,hurley,800,sloop boats,27,diesel,other materials,displacement
1994 hurley 8001994 hurley 800,0,1994,hurley,800,sailing yachts,27,diesel,fiberglass / polyester,
1980 jeanneau aquila1980 jeanneau aquila,17440,1980,jeanneau,aquila,sailing yachts,27,diesel,fiberglass / polyester,
1983 jeanneau fantasia 271983 jeanneau fantasia 27,16,1983,jeanneau,fantasia 27,unspecified (sailboats),27,diesel,fiberglass / polyester,
1988 sibma em 8301988 sibma em 830,14170,1988,sibma,em 830,other (sailboats),27,diesel,wood,
2020 antila yachts 26cc2020 antila yachts 26cc,48668,2020,antila yachts,26cc,other (sailboats),27,,fiberglass / polyester,
1980 artekno h- boot1980 artekno h- boot,21800,1980,artekno,h- boot,other (sailboats),27,electric,fiberglass / polyester,
1982 botnia h - boot1982 botnia h - boot,9701,1982,botnia,h - boot,unspecified (sailboats),27,electric,composite,
1979 custom vega1979 custom vega,16350,1979,custom,vega,sailing yachts,27,diesel,fiberglass / polyester,
1977 dufour 28001977 dufour 2800,10627,1977,dufour,2800,sloop boats,27,diesel,other materials,other
2022 northman maxus evo 242022 northman maxus evo 24,55479,2022,northman,maxus evo 24,sailing yachts,27,electric,fiberglass / polyester,
1990 hunter horizon 27 tk1990 hunter horizon 27 tk,17349,1990,hunter,horizon 27 tk,sailing yachts,27,diesel,fiberglass / polyester,monohull
1974 sabre 271974 sabre 27,5341,1974,sabre,27,other (sailboats),27,gasoline,other materials,
1978 vancouver 271978 vancouver 27,21695,1978,vancouver,27,sailing yachts,27,diesel,fiberglass / polyester,monohull
1978 vancouver 271978 vancouver 27,39785,1978,vancouver,27,sloop boats,27,diesel,other materials,displacement
2016 einzelbau vertue ii dschunkensegel2016 einzelbau vertue ii dschunkensegel,49050,2016,einzelbau,vertue ii dschunkensegel,sailing yachts,26,gasoline,wood,
2020 antila 24.4 lieferbar 20232020 antila 24.4 lieferbar 2023,43055,2020,antila,24.4 lieferbar 2023,other (sailboats),26,gasoline,fiberglass / polyester,
1975 custom grinde1975 custom grinde,27250,1975,custom,grinde,sailing yachts,26,diesel,fiberglass / polyester,
2020 dalpol phobos 25 lieferung 20232020 dalpol phobos 25 lieferung 2023,41202,2020,dalpol,phobos 25 lieferung 2023,other (sailboats),26,,fiberglass / polyester,
2005 odin yachten 820 classic2005 odin yachten 820 classic,51720,2005,odin yachten,820 classic,sailing yachts,26,gasoline,composite,
1976 jaguar 27 mit bootstransporter hanomag1976 jaguar 27 mit bootstransporter hanomag,15805,1976,jaguar,27 mit bootstransporter hanomag,sailing yachts,26,diesel,composite,
2020 raptor 26 lieferung 20222020 raptor 26 lieferung 2022,46695,2020,raptor,26 lieferung 2022,sailing yachts,26,gasoline,fiberglass / polyester,
1979 seamaster 8151979 seamaster 815,15532,1979,seamaster,815,daysailers,26,,fiberglass / polyester,
1986 unbekannt telkontar1986 unbekannt telkontar,9810,1986,unbekannt,telkontar,sailing yachts,26,diesel,other materials,
1983 bavaria 8201983 bavaria 820,26051,1983,bavaria,820,sailing yachts,26,diesel,composite,
1985 bavaria bavaria 261985 bavaria bavaria 26,21800,1985,bavaria,bavaria 26,sailing yachts,26,diesel,fiberglass / polyester,
1850 vlet 81001850 vlet 8100,10900,1850,vlet,8100,sloop boats,26,diesel,steel,
2022 classic yachten rw262022 classic yachten rw26,64201,2022,classic yachten,rw26,daysailers,26,electric,fiberglass / polyester,
2014 archambault a272014 archambault a27,0,2014,archambault,a27,sailing yachts,26,gasoline,other materials,
2023 beaconax bluestorm 8002023 beaconax bluestorm 800,82840,2023,beaconax,bluestorm 800,racer/cruiser sailboats,26,other,composite,
1977 beneteau evasion 281977 beneteau evasion 28,17440,1977,beneteau,evasion 28,sailing yachts,26,diesel,fiberglass / polyester,
2020 beneteau first 242020 beneteau first 24,87091,2020,beneteau,first 24,daysailers,26,,other materials,
1980 custom colvic watson 261980 custom colvic watson 26,22890,1980,custom,colvic watson 26,cutter,26,diesel,fiberglass / polyester,
1983 etap 261983 etap 26,10791,1983,etap,26,sailing yachts,26,diesel,composite,
1985 jeanneau fantasia 271985 jeanneau fantasia 27,50118,1985,jeanneau,fantasia 27,sailing yachts,26,diesel,composite,
1996 kroes boemerang ( zelfbouw )1996 kroes boemerang ( zelfbouw ),10627,1996,kroes,boemerang ( zelfbouw ),barge sail boat,26,diesel,wood,other
1992 latitude 46 tadorne1992 latitude 46 tadorne,56680,1992,latitude 46,tadorne,classic sailboats,26,diesel,fiberglass / polyester,
1979 marieholms bruk marieholm 261979 marieholms bruk marieholm 26,20165,1979,marieholms bruk,marieholm 26,sailing yachts,26,diesel,composite,
